WorkedWith,Academic researcher,Back-End Developer,Data Analyst,Data Scientist,Database administrator,DevOps specialist,Developer_ QA or test,Developer_ desktop or enterprise applications,Developer_ embedded applications or devices,Developer_ game or graphics,Engineer_ data,Engineering manager,Front-End Developer,Fullstack Developer,Mobile Developer,Product Manager,Senior Executive (C-Suite_ VP_ etc.),System administrator
Cassandra,1.57,23.84,0.42,4.04,0.72,2.84,0.91,6.52,0.12,0.06,8.51,2.05,12.55,21.54,12.73,0.24,1.09,0.24
Couchbase,,,,,,,,,,,,,,,,,,
DynamoDB,0.36,18.34,0.21,1.96,0.38,2.97,0.55,5.73,0.17,0.08,5.27,1.56,17.34,31.59,12.43,0.17,0.74,0.15
Elasticsearch,0.39,19.05,0.06,2.74,0.41,3.3,0.63,5.94,0.23,0.01,5.16,1.41,17.23,31.38,10.58,0.22,0.94,0.34
Firebase,0.3,5.2,0.27,1.08,0.15,0.33,0.36,3.42,0.25,0.14,1.37,0.65,22.48,23.04,39.99,0.33,0.48,0.15
IBM DB2,,,,,,,,,,,,,,,,,,
MariaDB,0.8,12.28,0.29,1.45,0.44,1.91,0.37,6.38,0.57,0.06,2.34,0.89,23.28,28.85,18.29,0.31,0.63,0.87
Microsoft SQL Server,0.34,9.29,0.89,2.32,0.62,0.97,0.68,12.68,0.31,0.08,3.1,0.92,21.58,29.75,15.31,0.22,0.55,0.4
MongoDB,0.6,12.53,0.26,2.33,0.24,1.3,0.55,5.92,0.35,0.1,3.11,0.85,23.71,29.21,17.81,0.27,0.61,0.25
MySQL,0.84,12.95,0.49,2.59,0.38,1.27,0.66,6.35,0.49,0.16,2.99,0.85,22.52,28.24,17.83,0.3,0.57,0.52
Oracle,0.59,13.42,0.97,3.1,0.67,1.03,1.18,11.93,0.33,0.07,4.21,0.93,19.21,26.29,14.96,0.3,0.35,0.46
PostgreSQL,0.67,16.38,0.42,2.88,0.35,1.51,0.52,6.55,0.37,0.09,4.25,1.12,19.85,30.91,12.76,0.29,0.69,0.36
Redis,0.35,20.16,0.09,1.72,0.23,2.02,0.35,5.34,0.25,0.05,3.18,1.36,18.19,33.43,11.91,0.2,0.95,0.24
SQLite,1.09,10.06,0.55,3.06,0.27,0.91,0.52,8.83,1.03,0.24,3.23,0.86,17.55,23.52,26.81,0.35,0.55,0.57
