WorkedWith,Academic researcher,Back-End Developer,Data Analyst,Data Scientist,Database administrator,DevOps specialist,Developer_ QA or test,Developer_ desktop or enterprise applications,Developer_ embedded applications or devices,Developer_ game or graphics,Engineer_ data,Engineering manager,Front-End Developer,Fullstack Developer,Mobile Developer,Product Manager,Senior Executive (C-Suite_ VP_ etc.),System administrator
.NET Core / .NET 5,0.37,10.01,0.28,0.7,0.24,0.73,0.59,14.53,0.54,0.49,1.51,0.84,21.8,30.18,16.11,0.2,0.55,0.34
.NET Framework,0.46,8.58,0.31,0.77,0.37,0.63,0.64,16.43,0.74,0.54,1.55,0.75,22.09,27.67,17.19,0.22,0.56,0.5
Apache Spark,1.12,13.29,0.91,12.0,0.37,1.03,0.21,6.25,0.29,0.12,24.42,1.37,11.01,18.0,8.28,0.37,0.7,0.25
Cordova,,,,,,,,,,,,,,,,,,
Flutter,0.42,6.37,0.29,0.94,0.17,0.38,0.46,4.09,0.36,0.08,1.22,0.73,13.19,19.73,50.34,0.34,0.69,0.21
Hadoop,1.7,12.89,1.64,10.74,0.62,1.53,1.19,6.27,0.34,0.06,22.33,1.24,8.99,20.07,8.99,0.4,0.68,0.34
Keras,3.67,7.66,1.04,26.37,0.09,0.51,0.32,6.55,0.89,0.22,9.88,0.82,11.14,18.71,11.17,0.32,0.44,0.19
NumPy,4.7,10.83,1.51,15.31,0.29,0.72,0.63,8.05,1.98,0.24,10.25,0.9,12.7,21.19,9.39,0.33,0.62,0.37
Pandas,3.9,10.95,1.97,16.05,0.4,0.76,0.63,6.82,1.26,0.12,12.36,1.03,12.33,21.23,8.87,0.38,0.61,0.33
Qt,3.34,9.46,0.38,4.91,0.19,0.64,0.9,21.1,5.39,1.06,4.49,1.06,15.39,15.39,14.75,0.22,0.61,0.71
React Native,0.26,4.47,0.21,0.69,0.17,0.28,0.29,2.85,0.26,0.07,0.9,0.85,21.68,26.39,39.47,0.29,0.71,0.16
TensorFlow,3.07,8.32,0.85,18.42,0.19,0.57,0.4,7.18,1.06,0.3,8.17,1.04,13.6,20.44,15.04,0.47,0.66,0.21
Torch/PyTorch,4.23,8.55,0.9,25.34,0.13,0.65,0.26,6.62,1.16,0.26,9.52,0.71,10.91,18.82,10.46,0.55,0.71,0.23
