WorkedWith,Academic researcher,Back-End Developer,Data Analyst,Data Scientist,Database administrator,DevOps specialist,Developer_ QA or test,Developer_ desktop or enterprise applications,Developer_ embedded applications or devices,Developer_ game or graphics,Engineer_ data,Engineering manager,Front-End Developer,Fullstack Developer,Mobile Developer,Product Manager,Senior Executive (C-Suite_ VP_ etc.),System administrator
ASP.NET,0.28,7.86,0.28,0.6,0.29,0.54,0.44,12.14,0.22,0.08,1.14,0.74,24.01,32.74,17.76,0.21,0.49,0.2
ASP.NET Core ,0.2,9.84,0.24,0.47,0.18,0.68,0.38,12.6,0.21,0.1,1.03,0.81,22.74,33.52,16.08,0.24,0.53,0.17
Angular,0.3,6.14,0.1,0.66,0.1,0.47,0.45,6.03,0.18,0.02,1.04,0.84,30.25,32.88,19.49,0.3,0.6,0.14
Angular.js,0.39,6.16,0.27,0.73,0.19,0.62,0.53,6.0,0.23,0.09,1.37,1.15,29.24,31.55,20.41,0.3,0.59,0.16
Django,1.22,16.11,0.72,4.2,0.35,1.38,0.85,5.98,0.44,0.1,4.98,1.06,19.35,28.42,13.35,0.43,0.62,0.46
Drupal,,,,,,,,,,,,,,,,,,
Express,0.37,7.68,0.14,0.58,0.1,0.68,0.29,4.2,0.19,0.09,1.05,0.79,29.87,33.12,19.87,0.21,0.58,0.19
FastAPI,0.75,17.81,0.5,9.8,0.2,1.44,0.3,5.42,0.2,0.15,9.95,1.24,15.72,24.43,10.9,0.25,0.7,0.25
Flask,1.3,15.51,0.72,7.95,0.38,2.19,0.68,7.22,0.86,0.1,7.77,1.11,15.83,25.97,10.94,0.36,0.55,0.56
Gatsby,,,,,,,,,,,,,,,,,,
Laravel,0.29,10.2,0.15,0.49,0.15,0.69,0.24,3.36,0.18,0.04,0.8,0.45,25.52,34.72,21.64,0.2,0.55,0.33
React.js,0.34,7.03,0.19,0.88,0.1,0.46,0.38,4.43,0.23,0.11,1.16,0.93,31.66,34.48,16.52,0.27,0.66,0.17
Ruby on Rails,0.35,17.15,0.25,0.75,0.23,0.98,0.5,3.71,0.2,0.05,1.78,1.5,17.6,41.26,11.94,0.55,1.0,0.2
Spring,0.32,21.43,0.06,0.88,0.14,0.85,0.57,9.22,0.14,0.01,2.46,1.06,18.15,30.4,13.51,0.17,0.46,0.15
Svelte,0.69,6.83,0.15,0.61,0.38,0.77,0.23,4.76,0.31,0.15,0.92,0.84,32.39,29.93,19.88,0.31,0.77,0.08
Symfony,,,,,,,,,,,,,,,,,,
Vue.js,0.54,7.86,0.19,0.86,0.1,0.65,0.39,4.64,0.3,0.13,1.22,0.71,30.18,34.01,17.2,0.24,0.55,0.2
jQuery,0.57,7.5,0.33,0.97,0.18,0.52,0.39,6.33,0.36,0.08,1.31,0.7,29.1,33.21,17.31,0.29,0.51,0.36
