Academic researcher,Back-End Developer,Data Analyst,Data Scientist,Database administrator,Designer,DevOps specialist,Developer_ QA or test,Developer_ desktop or enterprise applications,Developer_ embedded applications or devices,Developer_ game or graphics,Educator,Engineer_ data,Engineer_ site reliability,Engineering manager,Front-End Developer,Fullstack Developer,Marketing or sales professional,Mobile Developer,Product Manager,Scientist,Senior Executive (C-Suite_ VP_ etc.),Student,System administrator
21.0,32.0,10.0,16.0,6.0,2.0,4.0,8.0,15.0,1.0,,6.0,4.0,3.0,3.0,90.0,59.0,9.0,63.0,6.0,1.0,2.0,107.0,11.0
17.0,41.0,9.0,17.0,6.0,3.0,5.0,4.0,16.0,4.0,1.0,2.0,9.0,2.0,2.0,135.0,124.0,8.0,66.0,5.0,,2.0,83.0,9.0
19.0,152.0,31.0,46.0,11.0,13.0,13.0,12.0,56.0,3.0,3.0,2.0,35.0,3.0,6.0,333.0,304.0,8.0,150.0,8.0,5.0,1.0,131.0,15.0
45.0,245.0,32.0,86.0,4.0,7.0,17.0,17.0,83.0,11.0,6.0,9.0,59.0,4.0,4.0,466.0,513.0,11.0,318.0,9.0,6.0,4.0,154.0,24.0
42.0,344.0,35.0,97.0,10.0,9.0,20.0,21.0,150.0,22.0,5.0,8.0,96.0,7.0,6.0,667.0,762.0,1.0,474.0,12.0,8.0,1.0,111.0,18.0
56.0,473.0,30.0,158.0,10.0,7.0,49.0,44.0,243.0,30.0,16.0,10.0,135.0,7.0,9.0,914.0,1041.0,4.0,632.0,15.0,8.0,9.0,125.0,21.0
264.0,2689.0,122.0,686.0,61.0,30.0,208.0,165.0,1348.0,266.0,76.0,28.0,686.0,40.0,60.0,4102.0,5149.0,14.0,3094.0,43.0,53.0,41.0,224.0,65.0
198.0,1644.0,44.0,382.0,24.0,11.0,138.0,75.0,982.0,184.0,49.0,16.0,405.0,27.0,102.0,2457.0,3134.0,8.0,1931.0,28.0,30.0,41.0,41.0,35.0
120.0,1056.0,33.0,217.0,23.0,11.0,106.0,56.0,726.0,108.0,40.0,13.0,225.0,28.0,134.0,1656.0,2137.0,6.0,1069.0,25.0,19.0,56.0,15.0,26.0
56.0,641.0,11.0,101.0,19.0,7.0,72.0,25.0,547.0,65.0,26.0,14.0,161.0,11.0,92.0,1033.0,1326.0,4.0,692.0,29.0,15.0,61.0,4.0,22.0
50.0,378.0,23.0,67.0,18.0,5.0,48.0,24.0,428.0,49.0,4.0,12.0,75.0,11.0,82.0,584.0,742.0,3.0,460.0,21.0,14.0,52.0,1.0,16.0
28.0,247.0,12.0,52.0,4.0,8.0,20.0,13.0,293.0,37.0,6.0,10.0,48.0,8.0,41.0,351.0,445.0,2.0,308.0,9.0,17.0,39.0,4.0,13.0
37.0,185.0,15.0,45.0,9.0,7.0,25.0,13.0,280.0,53.0,9.0,16.0,59.0,7.0,45.0,305.0,379.0,4.0,261.0,12.0,13.0,34.0,,16.0
8.0,56.0,3.0,8.0,3.0,,11.0,2.0,79.0,18.0,1.0,1.0,19.0,2.0,8.0,96.0,96.0,2.0,85.0,1.0,5.0,11.0,,2.0
13.0,38.0,5.0,10.0,2.0,7.0,5.0,4.0,72.0,15.0,1.0,7.0,10.0,,3.0,55.0,49.0,2.0,51.0,3.0,10.0,9.0,2.0,9.0
